English,Danish Word(s),Danish Comments,Finnish Word(s),Finnish Comments,Norwegian Word(s),Norwegian Comments,Swedish Word(s),Swedish Comments
whole life,hele livet,,koko elämä,,hele livet,,hela livet,"even more common is probably ""hela mitt liv"", ""hela ditt liv"" and ""hela sitt liv"""
,,,,,,,folkhem*,
,,,,,,,"svik*, svikit, svikna; svek*, svekna, sveket",
Total Rows = 60 ,,,,,,,,
,,,,,,,,
Rejected (for now) proposed additions ,,,,,,,,
built,byggede,,rakennettu,,bygget,,"byggt, byggde",
when,da,,kun,,Da,,,
those who have,dem der har,,"he, jotka ovat",,De som har,,de som har,super broad...
since long,for lang tid siden,,jo kauan,,for lang tid siden,,sedan länge; under lång tid,
we owe ,vi skylder,,olemme velkaa,,Vi skylder,,vi är skyldiga,very difficult to phrase this as a bi-gram in Swedish without opening up for lots of noise
Already in,allerede i,,jo,,Allerede inn,,redan under; redan vid,
I går,yesterday,,eilen,,I går,,I går,"will pick up lots and lots of noise since a huge proportion of the posts are about ""yesterday's debate"""
For a number of years,I en årrække,,muutaman/useamman vuoden ajan,,I flere år,,i flera år; under flera år,"if we want to stick to bi-grams: ""flera år"" is probably even better as it catches both versions of the phrase"
was at the forefront of,stod i spidsen for ,,oli eturintamassa,,Stod i spissen for,,var föregångare; gick i bräschen för; stod i fronten för,
gøre det igen,do it again,,"tehdä taas, tehdä uudelleen/uudestaan",,Gjør det igjen,,gör det igen; göra det igen,
era,era,,"aikakau*, aikakausi, aikakaudella",I don't think there's a difference in Finnish between epoch and era,"Epoke, Era",,"era, eror, eran","N.B.! ""era""/""eran"" are also plural forms of ""your"" in Swedish, so big risk of noise with this term."
,,,,,,,,
https://myscp.onlinelibrary.wiley.com/doi/10.1002/jcpy.1359,,,,,,,,
https://nlp.stanford.edu/pubs/2012-naacl-temporal.pdf,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Open questions: decide about stems and tails or list precise keywords when translating - compound words,,,,,,,,
check lwic dictionary (sam),,,,,,,,
check common bigrams/phrases from facebook studies (Kalle and Marie),,,,,,,,
Translations - attention to different language contexts ,,,,,,,,
Run in english first? (sam and simon),,,,,,,,
exact words with spaces,,,,,,,,
